Year,Month,Frost_Days,Rain_mm,Month_Name,Season
1977,9,0,48.6,September,Autumn
1977,10,0,76.0,October,Autumn
1977,11,4,147.9,November,Autumn
1977,12,2,88.0,December,Winter
1978,1,6,134.1,January,Winter
1978,2,13,134.1,February,Winter
1978,3,3,121.3,March,Spring
1978,4,4,63.6,April,Spring
1978,5,0,30.6,May,Spring
1978,6,0,29.6,June,Summer
1978,7,0,110.1,July,Summer
1978,8,0,40.5,August,Summer
1978,9,0,34.1,September,Autumn
1978,10,0,12.0,October,Autumn
1978,11,4,82.8,November,Autumn
1978,12,6,219.5,December,Winter
1979,1,27,117.8,January,Winter
1979,2,13,81.9,February,Winter
1979,3,2,112.9,March,Spring
1979,4,3,60.2,April,Spring
1979,5,5,109.8,May,Spring
1979,6,0,25.9,June,Summer
1979,7,0,37.3,July,Summer
1979,8,0,135.4,August,Summer
1979,9,0,59.1,September,Autumn
1979,10,0,88.8,October,Autumn
1979,11,5,90.9,November,Autumn
1979,12,8,180.9,December,Winter
1980,1,19,96.6,January,Winter
1980,2,1,122.4,February,Winter
1980,3,3,152.6,March,Spring
1980,4,3,15.0,April,Spring
1980,5,0,43.6,May,Spring
1980,6,0,125.8,June,Summer
1980,7,0,67.2,July,Summer
1980,8,0,85.8,August,Summer
1980,9,0,99.2,September,Autumn
1980,10,0,147.5,October,Autumn
1980,11,4,131.8,November,Autumn
1980,12,8,108.2,December,Winter
1981,1,7,58.2,January,Winter
1981,2,13,62.9,February,Winter
1981,3,1,204.1,March,Spring
1981,4,0,37.1,April,Spring
1981,5,0,125.0,May,Spring
1981,6,0,49.5,June,Summer
1981,7,0,30.1,July,Summer
1981,8,0,27.8,August,Summer
1981,9,0,218.8,September,Autumn
1981,10,2,148.4,October,Autumn
1981,11,2,72.5,November,Autumn
1981,12,16,118.7,December,Winter
1982,1,11,85.3,January,Winter
1982,2,4,69.5,February,Winter
1982,3,3,152.4,March,Spring
1982,4,1,31.5,April,Spring
1982,5,1,34.3,May,Spring
1982,6,0,77.7,June,Summer
1982,7,0,29.7,July,Summer
1982,8,0,95.4,August,Summer
1982,9,0,101.1,September,Autumn
1982,10,0,128.9,October,Autumn
1982,11,4,193.9,November,Autumn
1982,12,8,166.9,December,Winter
1983,1,2,190.3,January,Winter
1983,2,15,30.4,February,Winter
1983,3,3,57.2,March,Spring
1983,4,1,97.7,April,Spring
1983,5,0,137.9,May,Spring
1983,6,0,32.2,June,Summer
1983,7,0,18.0,July,Summer
1983,8,0,34.2,August,Summer
1983,9,0,185.7,September,Autumn
1983,10,1,93.2,October,Autumn
1983,11,5,64.3,November,Autumn
1983,12,8,122.3,December,Winter
1984,1,8,205.7,January,Winter
1984,2,7,67.3,February,Winter
1984,3,3,31.1,March,Spring
1984,4,6,9.5,April,Spring
1984,5,0,60.0,May,Spring
1984,6,0,35.9,June,Summer
1984,7,0,14.7,July,Summer
1984,8,0,47.5,August,Summer
1984,9,0,149.1,September,Autumn
1984,10,1,147.7,October,Autumn
1984,11,2,218.2,November,Autumn
1984,12,7,115.0,December,Winter
1985,1,23,88.0,January,Winter
1985,2,14,69.4,February,Winter
1985,3,8,79.2,March,Spring
1985,4,0,71.6,April,Spring
1985,5,0,44.2,May,Spring
1985,6,0,157.4,June,Summer
1985,7,0,95.9,July,Summer
1985,8,0,186.6,August,Summer
1985,9,0,64.0,September,Autumn
1985,10,0,69.7,October,Autumn
1985,11,6,59.5,November,Autumn
1985,12,5,175.5,December,Winter
1986,1,8,153.8,January,Winter
1986,2,22,6.4,February,Winter
1986,3,4,108.2,March,Spring
1986,4,3,78.4,April,Spring
1986,5,0,89.1,May,Spring
1986,6,0,60.2,June,Summer
